 line_num | count | container_number | order_number | lot | item_code |                         product_description                          | qty  | pkgs | pack_type_code |  cbm  |   kgs    | invoice_number 
      109 |     1 | CAAU6980806      | 5170790      | 1   | BB477-XXL | Nisbets Essentials Chef Trousers - Size XXL                          |  100 |    4 | CTN            | 0.180 |   96.000 | 832A
      110 |     1 | CAAU6980806      | 5170790      | 1   | BB700-L   | Whites Cargo Pants - Size L                                          |   75 |    3 | CTN            | 0.140 |   60.000 | 832A
      111 |     1 | CAAU6980806      | 5170790      | 1   | BB700-M   | Whites Cargo Pants - Size M                                          |   75 |    3 | CTN            | 0.140 |   64.500 | 832A
      112 |     1 | CAAU6980806      | 5170790      | 1   | BB700-XL  | Whites Cargo Pants - Size XL                                         |   25 |    1 | CTN            | 0.050 |   12.700 | 832A
      113 |     1 | CAAU6980806      | 5170790      | 1   | BB701-XS  | Whites Ladies Fitted Jacket - Size XS                                |   50 |    2 | CTN            | 0.090 |   46.000 | 832A
      114 |     1 | CAAU6980806      | 5170790      | 1   | BB702-L   | Southside Band Collar Jacket White - Size L                          |   50 |    2 | CTN            | 0.090 |   25.800 | 832A
      115 |     1 | CAAU6980806      | 5170790      | 1   | BB712-L   | Southside Band Collar Jacket Charcoal - Size L                       |   75 |    3 | CTN            | 0.140 |   87.000 | 832A
      116 |     1 | CAAU6980806      | 5170790      | 1   | BB712-M   | Southside Band Collar Jacket Charcoal - Size M                       |  100 |    4 | CTN            | 0.180 |   84.000 | 832A
      117 |     1 | CAAU6980806      | 5170790      | 1   | DP923     | Bolero Banquet Chair Poly Jersey Covers Black                        |   75 |    3 | CTN            | 0.140 |   54.000 | 832A
(117 rows)

